kernel,n,comp,block_size,run,kernel_time,total_time
a,262144,64,32,2,0.000161,0.147971
a,262144,64,32,3,0.000158,0.158425
a,262144,64,32,4,0.000159,0.149906
a,262144,64,32,5,0.000156,0.147132
a,262144,64,32,6,0.000156,0.15622
a,262144,64,32,7,0.000167,0.154664
a,262144,64,32,8,0.000154,0.150071
a,262144,64,32,9,0.000153,0.15034
a,262144,64,32,10,0.000156,0.158449
a,524288,64,32,1,0.000236,0.159573
a,524288,64,32,2,0.000208,0.167079
a,524288,64,32,3,0.000224,0.157665
a,524288,64,32,4,0.000215,0.166841
a,524288,64,32,5,0.000214,0.17143
a,524288,64,32,6,0.000215,0.176156
a,524288,64,32,7,0.000242,0.169175
a,524288,64,32,8,0.000241,0.173171
a,524288,64,32,9,0.00023,0.165751
a,524288,64,32,10,0.000242,0.165121
a,1048576,64,32,1,0.000904,0.183099
a,1048576,64,32,2,0.000927,0.179541
